entry_date,working_hours
2023-04-01,8.00
2023-04-02,8.00
2023-04-03,8.00
2023-04-04,8.00
2023-04-05,8.00
2023-04-06,8.00
2023-04-07,8.00
2023-04-09,8.00
2023-04-10,8.00
2023-04-11,8.00
2023-04-13,8.00
2023-04-14,8.00
2023-04-15,8.00
2023-04-16,8.00
2023-04-17,8.00
2023-04-08,8.00
2023-04-18,8.00
2023-04-20,8.00
2023-04-21,8.00
2023-04-12,8.00
2023-04-22,8.00
2023-04-23,8.00
2023-04-19,8.00
2023-04-24,8.00
2023-04-25,8.00
2023-04-26,8.00
2023-04-27,8.00
2023-04-28,8.00
2023-04-29,8.00
2023-04-30,8.00